No;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model Year;USA;Europe;Japan;;
105;13;1.483887;1.578444;1.709634;1.971503;-0.917542;-0.788458;0.774676;-0.465148;-0.495225;;
163;18;0.30727;0.284492;-0.259066;0.941758;1.233589;-0.244335;0.774676;-0.465148;-0.495225;;
84;27;-0.869348;-0.942365;-0.442811;-1.054927;0.337285;-1.060519;-1.286751;-0.465148;2.012852;;
191;22;0.30727;0.284492;-0.127819;0.287651;-0.057089;0.027726;0.774676;-0.465148;-0.495225;;
395;32;-0.869348;-0.578142;-0.547808;-0.823857;-1.419473;1.660094;0.774676;-0.465148;-0.495225;;
119;20;-0.869348;-0.779423;-0.364063;-0.483769;-0.55902;-0.788458;-1.286751;2.143005;-0.495225;;
240;30.5;-0.869348;-0.942365;-0.705304;-0.948279;-0.523168;0.299787;-1.286751;2.143005;-0.495225;;
190;14.5;1.483887;1.49218;1.237146;1.451298;-0.989246;0.027726;0.774676;-0.465148;-0.495225;;
210;19;0.30727;-0.376861;0.082175;-0.071397;-0.021237;0.027726;-1.286751;-0.465148;2.012852;;
372;27;-0.869348;-0.424785;-0.390312;-0.302467;0.875068;1.660094;0.774676;-0.465148;-0.495225;;
111;18;-1.457657;-1.201156;-0.390312;-1.026488;-0.738281;-0.788458;-1.286751;-0.465148;2.012852;;
151;31;-0.869348;-1.114892;-0.994047;-1.173425;0.158024;-0.516397;-1.286751;2.143005;-0.495225;;
159;14;1.483887;1.49218;1.132149;1.975058;-0.738281;-0.244335;0.774676;-0.465148;-0.495225;;
154;15;0.30727;0.524113;-0.8628;0.523461;1.950633;-0.244335;0.774676;-0.465148;-0.495225;;
16;18;0.30727;0.035287;-0.206567;-0.256253;-0.021237;-1.604642;0.774676;-0.465148;-0.495225;;
265;17.5;1.483887;1.175881;0.922154;1.291326;-0.666577;0.571849;0.774676;-0.465148;-0.495225;;
76;18;-0.869348;-0.71233;0.187173;-0.067842;-0.379759;-1.060519;-1.286751;2.143005;-0.495225;;
110;22;-0.869348;-0.836932;-0.285315;-0.724319;0.337285;-0.788458;-1.286751;-0.465148;2.012852;;
322;46.6;-0.869348;-1.047798;-1.046546;-1.043077;0.839215;1.115971;-1.286751;-0.465148;2.012852;;
207;20;-0.869348;-0.626066;-0.075321;0.189298;0.050467;0.027726;-1.286751;2.143005;-0.495225;;
338;27.2;-0.869348;-0.578142;-0.547808;-0.592786;0.050467;1.388032;0.774676;-0.465148;-0.495225;;
141;29;-0.869348;-0.932781;-0.574058;-0.913915;0.337285;-0.516397;-1.286751;2.143005;-0.495225;;
239;30;-0.869348;-0.942365;-0.994047;-1.1912;0.301432;0.299787;-1.286751;-0.465148;2.012852;;
391;36;-0.869348;-0.578142;-0.547808;-0.734984;-0.917542;1.660094;0.774676;-0.465148;-0.495225;;
4;17;1.483887;1.022524;0.922154;0.543606;-1.813847;-1.604642;0.774676;-0.465148;-0.495225;;
97;18;0.30727;0.284492;0.003427;0.154934;0.337285;-0.788458;0.774676;-0.465148;-0.495225;;
14;24;-0.869348;-0.789008;-0.259066;-0.732614;-0.200498;-1.604642;-1.286751;-0.465148;2.012852;;
62;13;1.483887;1.482595;1.578387;1.521212;-1.276064;-1.060519;0.774676;-0.465148;-0.495225;;
238;33.5;-0.869348;-0.932781;-0.574058;-1.084552;0.122171;0.299787;0.774676;-0.465148;-0.495225;;
68;13;1.483887;1.482595;1.315894;1.791386;-0.738281;-1.060519;0.774676;-0.465148;-0.495225;;
315;24.3;-0.869348;-0.424785;-0.390312;0.015107;1.627964;1.115971;0.774676;-0.465148;-0.495225;;
250;19.4;1.483887;1.175881;0.922154;0.882509;-0.845838;0.571849;0.774676;-0.465148;-0.495225;;
196;24.5;-0.869348;-0.932781;-1.177792;-0.979089;2.345007;0.027726;0.774676;-0.465148;-0.495225;;
156;16;1.483887;1.961837;1.709634;1.988092;-1.455325;-0.244335;0.774676;-0.465148;-0.495225;;
370;31;-0.869348;-0.798593;-0.521559;-0.492063;0.229728;1.660094;0.774676;-0.465148;-0.495225;;
304;37.3;-0.869348;-0.999874;-0.941548;-1.019378;-0.308055;0.84391;-1.286751;2.143005;-0.495225;;
19;26;-0.869348;-0.942365;-1.545283;-1.368946;1.771372;-1.604642;-1.286751;2.143005;-0.495225;;
228;18.5;0.30727;0.524113;-0.180318;0.633664;1.233589;0.299787;0.774676;-0.465148;-0.495225;;
302;34.5;-0.869348;-0.865687;-0.915299;-0.995678;-0.23635;0.84391;0.774676;-0.465148;-0.495225;;
3;16;1.483887;1.041693;1.184647;0.524646;-1.276064;-1.604642;0.774676;-0.465148;-0.495225;;
311;32.1;-0.869348;-0.932781;-0.915299;-1.031228;-0.021237;1.115971;0.774676;-0.465148;-0.495225;;
127;19;0.30727;0.351586;-0.127819;-0.105761;0.158024;-0.516397;0.774676;-0.465148;-0.495225;;
78;21;-0.869348;-0.721914;-0.46906;-0.013333;1.41285;-1.060519;-1.286751;2.143005;-0.495225;;
186;27;-0.869348;-0.904026;-0.574058;-0.93406;-0.092942;0.027726;-1.286751;2.143005;-0.495225;;
297;25.4;-0.281039;-0.11807;-0.731554;0.639589;1.627964;0.84391;-1.286751;2.143005;-0.495225;;
377;31;-0.869348;-0.999874;-0.967798;-1.208974;0.731659;1.660094;-1.286751;-0.465148;2.012852;;
390;32;-0.869348;-0.491879;-0.232816;-0.385415;-0.594872;1.660094;-1.286751;-0.465148;2.012852;;
184;25;-0.869348;-0.530218;-0.337814;-0.495618;-0.23635;0.027726;0.774676;-0.465148;-0.495225;;
352;29.9;-0.869348;-0.932781;-1.046546;-0.723134;1.843077;1.388032;0.774676;-0.465148;-0.495225;;
81;28;-0.869348;-0.942365;-0.337814;-0.832152;0.516546;-1.060519;-1.286751;-0.465148;2.012852;;
260;18.6;0.30727;0.284492;0.134674;0.746237;1.126033;0.571849;0.774676;-0.465148;-0.495225;;
11;14;1.483887;1.386747;1.44714;0.733202;-2.710152;-1.604642;0.774676;-0.465148;-0.495225;;
299;27.2;-0.869348;-0.520633;-0.88905;0.236697;3.313017;0.84391;-1.286751;2.143005;-0.495225;;
87;13;1.483887;1.482595;1.053401;1.182308;-0.917542;-0.788458;0.774676;-0.465148;-0.495225;;
268;27.2;-0.869348;-0.731499;-0.206567;-0.817932;-0.308055;0.571849;-1.286751;-0.465148;2.012852;;
37;18;0.30727;0.351586;-0.127819;0.352825;-0.021237;-1.33258;0.774676;-0.465148;-0.495225;;
380;36;-0.869348;-0.721914;-0.442811;-0.983829;-0.379759;1.660094;-1.286751;-0.465148;2.012852;;
59;23;-0.869348;-0.942365;-1.335288;-0.872441;2.846938;-1.060519;-1.286751;2.143005;-0.495225;;
42;12;1.483887;1.798895;1.972127;2.328181;-1.455325;-1.33258;0.774676;-0.465148;-0.495225;;
272;23.8;-0.869348;-0.424785;-0.521559;-0.16027;0.731659;0.571849;0.774676;-0.465148;-0.495225;;
51;30;-0.869348;-1.114892;-0.915299;-1.085737;1.41285;-1.33258;-1.286751;2.143005;-0.495225;;
211;16.5;0.30727;-0.261843;0.397167;0.983232;0.408989;0.027726;-1.286751;2.143005;-0.495225;;
313;28;-0.869348;-0.424785;-0.390312;-0.370011;0.337285;1.115971;0.774676;-0.465148;-0.495225;;
312;37.2;-0.869348;-1.047798;-1.046546;-1.15091;0.301432;1.115971;-1.286751;-0.465148;2.012852;;
326;43.4;-0.869348;-1.009459;-1.492784;-0.776458;2.918642;1.115971;-1.286751;2.143005;-0.495225;;
124;11;1.483887;1.482595;1.972127;0.798376;-1.634586;-0.788458;0.774676;-0.465148;-0.495225;;
224;15;1.483887;1.022524;0.659661;1.546096;-0.23635;0.299787;0.774676;-0.465148;-0.495225;;
63;14;1.483887;1.961837;1.84088;1.652744;-1.276064;-1.060519;0.774676;-0.465148;-0.495225;;
298;23;1.483887;1.482595;0.528414;1.07803;0.659954;0.84391;0.774676;-0.465148;-0.495225;;
132;25;-0.869348;-0.530218;-0.784052;-0.531168;0.516546;-0.516397;0.774676;-0.465148;-0.495225;;
189;15.5;1.483887;1.041693;0.397167;1.151499;-0.594872;0.027726;0.774676;-0.465148;-0.495225;;
23;26;-0.869348;-0.71233;0.213422;-0.89614;-1.096803;-1.604642;-1.286751;2.143005;-0.495225;;
44;13;1.483887;1.961837;1.84088;2.547401;-1.276064;-1.33258;0.774676;-0.465148;-0.495225;;
0;18;1.483887;1.070448;0.659661;0.60878;-1.276064;-1.604642;0.774676;-0.465148;-0.495225;;
